seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
234,1029.6,143.65293884277344,403.5,28.66,1570590.2115000002,5173312.3055
235,1034.6,151.73435974121094,161.63,22.73,1570585.3033107053,5173311.351729669
236,1039.6,154.01309204101562,45.57,-30.15,1570580.3951214103,5173310.397959338
237,1044.6,168.6645050048828,293.03,26.38,1570575.4869321154,5173309.444189006
238,1049.6,161.65304565429688,-140.23,46.1,1570570.5787428203,5173308.490418674
239,1053.5,155.68841552734375,-155.86,65.99,1570566.8219999997,5173307.7604
240,1058.5,160.39968872070312,94.23,20.05,1570562.2086464656,5173305.832455714
241,1063.5,132.84793090820312,-551.04,11.22,1570557.5952929317,5173303.904511428
242,1068.5,151.5306854248047,373.66,6.22,1570552.9819393975,5173301.976567142
243,1073.5,165.61697387695312,281.73,-34.98,1570548.3685858634,5173300.048622856
244,1078.5,161.59934997558594,-80.35,9.35,1570543.7552323295,5173298.12067857
245,1083.5,156.5099334716797,-101.79,12.63,1570539.1418787953,5173296.192734284
246,1088.4,159.6900177001953,64.49,11.2,1570534.5921999998,5173294.2914
247,1093.4,159.21629333496094,-9.47,14.9,1570530.5877342324,5173291.297363608
248,1098.4,151.2072296142578,-160.18,-7.71,1570526.583268465,5173288.303327216
249,1101.4,161.83779907226562,347.43,-66.5,1570524.1327,5173286.4711
250,1106.4,155.84669494628906,-119.82,-57.81,1570519.1741315539,5173285.828761331
251,1110.4,158.94882202148438,78.56,-48.64,1570515.2582999999,5173285.3215
252,1115.4,133.43280029296875,-510.32,-59.21,1570510.5718808253,5173283.578664574
253,1120.4,139.6757354736328,124.86,-59.78,1570505.8854616508,5173281.835829148
254,1123.3,129.10281372070312,-364.91,-51.97,1570503.1698000003,5173280.8259
255,1128.3,129.8665771484375,15.28,-30.65,1570499.6386137581,5173277.2860237695
256,1133.3,129.82078552246094,-0.92,-79.53,1570496.1074275158,5173273.7461475395
257,1138.3,127.22872161865234,-51.84,-96.3,1570492.5762412737,5173270.20627131
258,1143.3,126.44194030761719,-15.74,-30.9,1570489.0450550313,5173266.66639508
259,1143.8,126.08292388916016,-74.28,-29.86,1570488.7037000004,5173266.3242
260,1148.8,155.18186950683594,581.98,5.01,1570487.2377330023,5173261.543934237
261,1151.9,134.51829528808594,-657.5,-21.3,1570486.3163,5173258.5393
