seq,cum_dist,elev,gradient_50m,x,y
164,725.2,161.35342407226562,-4.3,1570576.3778044437,5173199.278421977
165,730.2,160.57948303222656,-3.9,1570578.8852392584,5173194.952595969
166,734.5,161.47100830078125,-4.6,1570581.0559999999,5173191.2076
167,739.5,160.65773010253906,-5.0,1570580.47650709,5173186.241294737
168,744.5,160.43812561035156,-7.3,1570579.8970141802,5173181.274989474
169,747.9,160.00888061523438,-9.3,1570579.5000999998,5173177.8734
170,752.9,158.55226135253906,-9.6,1570574.5001483534,5173177.851410619
171,754.4,158.3614959716797,-9.6,1570573.0425000004,5173177.845
172,759.4,158.13525390625,-9.7,1570570.4045674354,5173182.092506537
173,764.4,157.74122619628906,-13.0,1570567.7666348703,5173186.340013074
174,769.4,157.5016326904297,-12.6,1570565.1287023055,5173190.587519611
175,771.3,157.09109497070312,-13.3,1570564.0999999996,5173192.2439
176,776.3,156.5459747314453,-11.4,1570560.69735154,5173195.907502525
177,781.3,155.9633331298828,-9.4,1570557.29470308,5173199.57110505
178,786.3,155.13189697265625,-9.8,1570553.8920546204,5173203.234707574
179,791.3,154.09214782714844,-9.3,1570550.4894061605,5173206.898310099
180,794.0,153.1067657470703,-9.3,1570548.6902,5173208.8355
181,799.0,153.1885986328125,-8.4,1570547.6792093487,5173213.73222318
182,804.0,153.6357421875,-8.4,1570546.6682186972,5173218.62894636
183,809.0,153.2108154296875,-10.2,1570545.6572280459,5173223.52566954
184,814.0,152.78196716308594,-11.7,1570544.6462373945,5173228.42239272
185,814.4,152.78196716308594,-11.7,1570544.5664999997,5173228.8086
186,819.4,152.6219024658203,-13.0,1570544.9705786353,5173233.792245298
187,824.4,152.62078857421875,-14.2,1570545.3746572707,5173238.775890596
188,829.4,152.08705139160156,-15.9,1570545.7787359064,5173243.759535894
189,833.3,151.56826782226562,-17.0,1570546.0979000004,5173247.6959
190,838.3,150.1733856201172,-17.8,1570547.3329099296,5173252.5409748675
191,843.3,148.47166442871094,-17.3,1570548.5679198587,5173257.386049735
192,848.3,146.06747436523438,-15.0,1570549.802929788,5173262.231124603
193,849.4,146.05517578125,-16.5,1570550.0657000002,5173263.262
194,854.4,145.61795043945312,-13.5,1570553.411618896,5173266.977484725
195,859.4,144.216064453125,-14.5,1570556.7575377917,5173270.692969451
196,864.4,143.37054443359375,-14.0,1570560.1034566876,5173274.408454175
197,867.4,142.9142608642578,-14.0,1570562.1152,5173276.6424
198,872.4,142.72610473632812,-12.4,1570566.1196909924,5173279.636402654
199,877.4,143.8960418701172,-8.4,1570570.1241819847,5173282.630405308
200,882.4,144.94357299804688,-8.6,1570574.1286729772,5173285.624407962
201,887.4,143.7102508544922,-8.9,1570578.1331639697,5173288.618410615
202,892.4,142.60301208496094,-8.3,1570582.1376549623,5173291.6124132695
203,893.5,142.30303955078125,-7.5,1570583.0343000004,5173292.2828
204,898.5,141.638671875,-9.1,1570587.772505794,5173293.879485899
205,903.5,141.52532958984375,-12.0,1570592.5107115873,5173295.476171797
206,908.5,140.95034790039062,-14.8,1570597.2489173808,5173297.072857697
207,913.5,139.40505981445312,-11.8,1570601.9871231741,5173298.669543595
208,918.2,138.72305297851562,-10.8,1570606.4091999996,5173300.1597
209,923.2,138.74256896972656,-8.4,1570610.9939300686,5173302.154756439
210,928.2,137.6693572998047,-6.4,1570615.5786601375,5173304.149812878
211,933.2,137.21714782714844,-5.7,1570620.1633902062,5173306.144869317
212,938.2,136.70840454101562,-9.7,1570624.748120275,5173308.1399257565
213,943.2,137.13290405273438,-11.5,1570629.332850344,5173310.134982196
214,946.3,137.53965759277344,-11.5,1570632.1912000002,5173311.3788
215,951.3,137.42364501953125,-15.3,1570636.386743767,5173314.098618468
216,956.3,137.91311645507812,-14.4,1570640.5822875334,5173316.818436937
217,960.7,138.2890167236328,-16.2,1570644.2653,5173319.206
218,965.7,135.40003967285156,-16.5,1570645.4212894558,5173324.070533727
219,967.5,134.79656982421875,-16.5,1570645.8504999997,5173325.8767
220,972.5,132.48855590820312,-21.5,1570643.4381677918,5173330.256272276
221,972.6,132.48855590820312,-21.5,1570643.4094000002,5173330.3085
222,977.6,130.41937255859375,-18.7,1570638.4990849628,5173331.251265205
223,978.4,130.09715270996094,-18.7,1570637.7540999996,5173331.3943
224,983.4,129.70602416992188,-18.1,1570633.0331388842,5173329.747325153
225,988.4,128.29409790039062,-15.7,1570628.312177769,5173328.100350305
226,993.4,127.59647369384766,-7.5,1570623.5912166534,5173326.453375459
227,998.4,126.36127471923828,-0.5,1570618.870255538,5173324.806400611
228,1002.3,126.2765884399414,-0.5,1570615.1863000002,5173323.5212
229,1007.3,126.96451568603516,5.8,1570610.625124623,5173321.472864291
