seq,cum_dist,elev,gradient_50m,x,y
291,1278.2,111.96256256103516,-15.3,1570460.3148082397,5173240.128363557
292,1283.2,110.8609390258789,-13.8,1570460.8923164792,5173235.161827115
293,1287.7,109.89804077148438,-15.0,1570461.4153000005,5173230.6642
294,1292.7,107.63544464111328,-16.6,1570458.9211297128,5173226.330712424
295,1294.1,107.54989624023438,-16.1,1570458.2110000001,5173225.0969
296,1299.0,105.03861999511719,-18.7,1570453.3678000001,5173225.0756
297,1304.0,105.21110534667969,-18.5,1570451.2589366953,5173229.609108086
298,1309.0,104.77425384521484,-17.4,1570449.1500733902,5173234.142616171
299,1314.0,104.15853881835938,-14.2,1570447.0412100854,5173238.676124256
300,1319.0,103.47984313964844,-12.4,1570444.9323467803,5173243.209632342
301,1324.0,102.95536804199219,-9.0,1570442.8234834755,5173247.743140427
302,1329.0,102.5592041015625,-11.4,1570440.7146201704,5173252.276648513
303,1334.0,102.04393768310547,-9.6,1570438.6057568656,5173256.810156599
304,1339.0,102.60235595703125,-7.9,1570436.4968935605,5173261.343664684
305,1344.0,101.27320098876953,-6.7,1570434.3880302557,5173265.877172769
306,1349.0,100.5294418334961,-5.4,1570432.2791669508,5173270.410680855
307,1354.0,99.5354995727539,-4.3,1570430.1703036458,5173274.94418894
308,1358.9,99.53267669677734,-6.4,1570428.1047,5173279.3847
309,1363.9,99.4938735961914,-6.8,1570427.6303979934,5173284.362152924
310,1367.8,99.90142822265625,-8.7,1570427.2583999997,5173288.266
311,1372.8,99.89947509765625,-5.8,1570428.9454217302,5173292.972799091
312,1377.2,100.09506225585938,-5.0,1570430.4479999999,5173297.165
313,1382.2,100.2976303100586,-6.5,1570434.0133681856,5173300.670445721
314,1387.2,98.83921813964844,-9.1,1570437.5787363714,5173304.175891441
315,1392.2,98.05860900878906,-8.5,1570441.144104557,5173307.681337162
316,1397.2,97.53468322753906,-8.9,1570444.7094727429,5173311.186782883
317,1402.2,97.88910675048828,-8.4,1570448.2748409286,5173314.692228603
318,1404.3,97.00536346435547,-8.4,1570449.7378000002,5173316.1306
319,1409.3,95.94945526123047,-9.1,1570453.795338158,5173319.052309105
320,1414.3,94.49056243896484,-8.4,1570457.8528763158,5173321.9740182115
